"Module Name","Display Name","Description","Driver Type","Start Mode","State","Status","Accept Stop","Accept Pause","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Link Date","Path","Init(bytes)"
"GPIOClx0101","Microsoft GPIO Class Extension Driver","Microsoft GPIO Class Extension Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","49,152","102,400","0","","C:\Windows\system32\Drivers\msgpioclx.sys","4,096"
"HdAudAddService","Microsoft 1.1 UAA Function Driver for High Definition Audio Service","Microsoft 1.1 UAA Function Driver for High Definition Audio Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","385,024","45,056","0","","C:\Windows\system32\drivers\HdAudio.sys","4,096"
"HDAudBus","Microsoft UAA Bus Driver for High Definition Audio","Microsoft UAA Bus Driver for High Definition Audio","Kernel ","Manual","Running","OK","TRUE","FALSE","49,152","102,400","0","","C:\Windows\system32\drivers\HDAudBus.sys","4,096"
"HidBatt","HID UPS Battery Driver","HID UPS Battery Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","28,672","0","","C:\Windows\system32\drivers\HidBatt.sys","4,096"
"HidBth","Microsoft Bluetooth HID Miniport","Microsoft Bluetooth HID Miniport","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","57,344","0","","C:\Windows\system32\drivers\hidbth.sys","4,096"
"hidi2c","Microsoft I2C HID Miniport Driver","Microsoft I2C HID Miniport Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","12,288","61,440","0","","C:\Windows\system32\drivers\hidi2c.sys","4,096"
"hidinterrupt","Common Driver for HID Buttons implemented with interrupts","Common Driver for HID Buttons implemented with interrupts","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","24,576","0","","C:\Windows\system32\drivers\hidinterrupt.sys","4,096"
"HidIr","Microsoft Infrared HID Driver","Microsoft Infrared HID Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","28,672","0","","C:\Windows\system32\drivers\hidir.sys","4,096"
"hidspi","Microsoft SPI HID Miniport Driver","Microsoft SPI HID Miniport Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","90,112","0","","C:\Windows\system32\drivers\hidspi.sys","4,096"
"HidSpiCx","HidSpi KMDF Class Extension","HidSpi KMDF Class Extension","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","81,920","0","","C:\Windows\system32\drivers\HidSpiCx.sys","4,096"
"HidUsb","Microsoft HID Class Driver","Microsoft HID Class Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","32,768","0","","C:\Windows\system32\drivers\hidusb.sys","4,096"
"HpSAMD","HpSAMD","HpSAMD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","45,056","0","3/26/2013 2:36:54 PM","C:\Windows\system32\drivers\HpSAMD.sys","4,096"
"Hsp","Microsoft Pluton Service","Microsoft Pluton Service","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","49,152","0","","C:\Windows\system32\drivers\Hsp.sys","4,096"
"HTTP","HTTP Service","HTTP Service","Kernel ","Manual","Running","OK","TRUE","FALSE","122,880","1,572,864","0","","C:\Windows\system32\drivers\HTTP.sys","4,096"
"hvcrash","hvcrash","hvcrash","Kernel ","Disabled","Stopped","OK","FALSE","FALSE","8,192","16,384","0","","C:\Windows\system32\drivers\hvcrash.sys","4,096"
"hvservice","Microsoft Hypervisor Service Driver","Microsoft Hypervisor Service Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","24,576","16,384","0","","C:\Windows\system32\drivers\hvservice.sys","4,096"
"HwNClx0101","Microsoft Hardware Notifications Class Extension Driver","Microsoft Hardware Notifications Class Extension Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","12,288","0","","C:\Windows\system32\Drivers\mshwnclx.sys","4,096"
"hwpolicy","Hardware Policy Driver","Hardware Policy Driver","Kernel ","Boot","Stopped","OK","FALSE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\hwpolicy.sys","4,096"
"hyperkbd","hyperkbd","hyperkbd","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","12,288","0","","C:\Windows\system32\drivers\hyperkbd.sys","4,096"
"HyperVideo","HyperVideo","HyperVideo","Kernel ","Manual","Stopped","OK","FALSE","FALSE","20,480","12,288","0","","C:\Windows\system32\drivers\HyperVideo.sys","4,096"
"I3CHost","I3C Host Controller Service","I3C Host Controller Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","106,496","229,376","0","","C:\Windows\system32\DriverStore\FileRepository\i3chost.inf_amd64_c392a79f9867ca26\i3chost.sys","4,096"
